BLOCK_NAME;LAYER;NOMBRE;COLOR;MARCA;MODELO;X;Y;ROT;SX;SY
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';3462494;2750973;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';4093225;2755691;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';4748644;2741377;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';5343178;2734220;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';5916222;2741377;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';5943997;1941807;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';5337406;1938794;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';4718234;1951252;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';4091927;1956508;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';5931468;595080;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';5324876;592068;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';4705704;604526;0;1000;1000
'Silla';'0';'Silla';'BEIGE';'Stay Elit';'SILLA-01';4079398;609781;0;1000;1000
'Mouse';'Mouse';'Mouse';'Negro';'LOGITECH';'M170';2606186;5773960;0;-1000;1000
'Teclado';'0';'Teclado';'Negro';'HP';' HP 230 (3L1E7AA)';2895288;5782289;0;-1000;1000
